Content,ID,Topic
Y Combinator widens its bet in edtech in latest batch,0,1
Google’s Family Link updates reflect the pandemic’s impact on how parents view screen time,1,1
GSV Ventures doubles assets managed with new fund focused on global edtech,2,1
"After 200% ARR growth in 2020, CourseKey raises $9M to digitize trade schools",3,3
"Newsela, the replacement for textbooks, raises $100M and becomes a unicorn",4,3
ErudiFi raises $5 million Series A to give students in Southeast Asia more education financing options,5,0
Tired of ‘Zoom University’? So is edtech,6,1
"Language-learning service Babbel adds live classes, games and more",7,3
African edtech startup uLesson lands a $7.5 million Series A,8,3
Sounding Board raises cash as startups wake up to executive coaching,9,1
Senator: ‘More transparency is needed’ by exam proctoring tech firms,10,1
Thimble teaches kids STEM skills with robotics kits combined with live Zoom classes,11,1
YC-backed BlaBla raises $1.5M to teach English through short videos,12,2
Tappity raises $1.3M for its interactive and educational video library for kids,13,2
Fluent Forever raises $4.9M for its language learning system,14,3
Brainly raises $80M as its platform for crowdsourced homework help balloons to 350M users,15,2
Edtech boom continues as IntellectoKids raises $3M from Allrise Capital and others,16,3
Plaid accelerator announces inaugural cohort of fintech startups,17,1
Cross-border fintech Airwallex raises $100M Series D extension at new valuation of $2.6B,18,0
Pre-seed round funding is under scrutiny: Is VC pandemic posturing here to stay?,19,2
Planting seed investments on tech’s frontiers nets KdT Ventures $50 million for its latest fund,20,1
Waterfund commits $50M to OurCrowd’s water and agtech portfolio,21,3
"Nuvemshop, LatAm’s answer to Shopify, raises $90M in Accel-led Series D",22,0
"Aldea Ventures creates ‘hybrid’ European €100M fund to invest both in micro VCs, plus follow-on",23,0
Social+ payments: Why fintechs need social features,24,1
Vega raises $5M to give anyone the ability to launch a derivatives market,25,1
The Robinhood competitor landscape intensifies as Invstr raises $20M,26,1
Norrsken Foundation is closing on an oversubscribed impact venture fund at €125 million,27,1
Squarespace raises $300M at a staggering $10B valuation,28,1
Trading platform eToro to go public via SPAC merger in $10B deal,29,1
"Socure raises $100M at $1.3B valuation, proving identity verification is hotter than ever",30,3
Inovia Capital raises $450M for second growth-stage investment fund,31,3
BlockFi lands a $350M Series D at a $3B valuation for its fast-growing crypto-lending platform,32,0
"African payments company Flutterwave raises $170M, now valued at over $1B",33,3
Former head of the World Resources Institute has a new role leading Bezos’ $10 billion Earth Fund,34,1
"Equity Monday: More money for fintech, Deliveroo’s IPO and AI startups",35,2
"Microsoft launches ‘Group Transcribe,’ a transcription and translation app for in-person meetings",36,2
‘Orwellian’ AI lie detector project challenged in EU court,37,1
Aflorithmic nabs $1.3M for AI-driven personalized audio-as-a-service,38,0
Chinese facial recognition unicorn Megvii prepares China IPO,39,1
Veo raises $25M for AI-based cameras that record and analyze football and other team sports,40,0
VSCO acquires mobile app Trash to expand into AI-powered video editing,41,3
ultimate.ai scores $20M for a supportive approach to customer service automation,42,2
UK to invest in AI and cyber as part of major defense spending hike,43,3
Tiliter bags $7.5M for its ‘plug and play’ cashierless checkout tech,44,1
Adobe tests an AI recommendation tool for headlines and images,45,1
Google brings its AI-powered SmartReply feature to YouTube,46,3
Biased AI perpetuates racial injustice,47,1
Greyparrot bags $2.2M seed to scale its AI for waste management,48,3
Codota picks up $12M for an AI platform that auto-completes developers’ code,49,2
Ghana’s Redbird raises $1.5M seed to expand access to rapid medical testing in sub-Saharan Africa,50,0
Ro raises $500M to grow its remote and in-home primary care platform,51,3
Amazon will expand its Amazon Care on-demand healthcare offering US-wide this summer,52,3
"With $19M A round, Halo Dx combines data streams to better diagnose cancers, dementia and more",53,0
Oak HC/FT closes on $1.4 billion to invest in fintech and healthcare startups,54,3
Notable Health seeks to improve COVID-19 vaccine administration through intelligent automation,55,2
Mate Fertility is aiming to create a franchise of fertility clinics open to everyone,56,3
"Maya, a startup focused on accessible healthcare in Asia, raises $2.2 million seed for regional expansion",57,0
Indian health tech startup Phable raises $12 million to serve patients with chronic conditions,58,0
"Bot MD, an AI-based chatbot for doctors, raises $5 million for expansion into more Asian markets",59,0
Folx Health raises $25 million for virtual clinical offerings and care for the LGBTQIA+ community,60,0
"LA-based Sidecar Health’s low-cost, cash-pay health insurance service is now valued at $1 billion",61,0
Clubhouse says its Android launch will take ‘a couple of months’,62,1
"This Week in Apps: Parler denied App Store re-entry, Walmart doubles down on TikTok live shopping, Instagram Lite rolls out worldwide",63,0
"Rent the Runway’s first iOS team launches Runway, an easier way to coordinate app releases",64,2
"Facebook launches BARS, a TikTok-like app for creating and sharing raps",65,2
"Android’s latest update will let you schedule texts, secure your passwords and more",66,2
"Top 100 subscription apps grew 34% to $13B in 2020, share of total spend remained the same",67,3
Insight launches a customizable iOS browser with support for extensions,68,1
"This Week in Apps: Parler deplatformed, alt apps rise, looking back at 2020 trends",69,2
"This Week in Apps: Social apps react to riots, Parler gets booted, FTC threatens regulation",70,2
Atlanta area gets a 5G incubator courtesy of T-Mobile and Georgia Tech,71,3
Isotropic Systems raises $40 million for a satellite antenna that could make the most of new constellations,72,0
"Known for 5G mmWave testing solutions, Taiwan’s TMYTEK sets its sights on base stations",73,1
T-Mobile says hackers accessed some customer call records in data breach,74,3
OneWeb launches 36 satellites to join its global broadband constellation on orbit,75,1
"Qualcomm’s new chipset for wireless earbuds promises improved noise cancellation, all-day battery life",76,0
Qualcomm announces the new Snapdragon 888 chip,77,1
"Gartner: Q3 smartphone sales down 5.7% to 366M, slicing COVID-19 declines in Q1, Q2",78,0
"OneWeb emerges from bankruptcy, aims to begin launching satellites again on December 17",79,3
